date,state,death,positive,hospitalized
20.03.2020,VT,2,32,
19.03.2020,VT,2,20,
18.03.2020,VT,0,18,
17.03.2020,VT,0,12,
16.03.2020,VT,0,8,
15.03.2020,VT,0,4,
14.03.2020,VT,0,4,
13.03.2020,VT,0,2,
12.03.2020,VT,0,2,
11.03.2020,VT,0,1,
10.03.2020,VT,0,1,
09.03.2020,VT,0,1,
08.03.2020,VT,0,1,
07.03.2020,VT,0,0,
06.03.2020,VT,0,0,
05.03.2020,VT,0,0,
04.03.2020,VT,0,0,
03.03.2020,VT,0,0,
02.03.2020,VT,0,0,
01.03.2020,VT,0,0,
29.02.2020,VT,0,0,
28.02.2020,VT,0,0,
27.02.2020,VT,0,0,
26.02.2020,VT,0,0,
25.02.2020,VT,0,0,
24.02.2020,VT,0,0,
23.02.2020,VT,0,0,
22.02.2020,VT,0,0,
21.02.2020,VT,0,0,
20.02.2020,VT,0,0,
19.02.2020,VT,0,0,
18.02.2020,VT,0,0,
17.02.2020,VT,0,0,
16.02.2020,VT,0,0,
15.02.2020,VT,0,0,
14.02.2020,VT,0,0,
13.02.2020,VT,0,0,
12.02.2020,VT,0,0,
11.02.2020,VT,0,0,
10.02.2020,VT,0,0,
09.02.2020,VT,0,0,
08.02.2020,VT,0,0,
07.02.2020,VT,0,0,
06.02.2020,VT,0,0,
05.02.2020,VT,0,0,
04.02.2020,VT,0,0,
03.02.2020,VT,0,0,
02.02.2020,VT,0,0,
01.02.2020,VT,0,0,
31.01.2020,VT,0,0,
30.01.2020,VT,0,0,
29.01.2020,VT,0,0,
28.01.2020,VT,0,0,
27.01.2020,VT,0,0,
26.01.2020,VT,0,0,
25.01.2020,VT,0,0,
24.01.2020,VT,0,0,
23.01.2020,VT,0,0,
22.01.2020,VT,0,0,
